_id,project_title,start_actual_isodate,donors_iso2,ad_sector_names,status,transactions_start_year,transactions_end_year,total_commitments,total_disbursements
516,Nepal-Investment Climate Reform Program (NICRP),2010-05-12T00:00:00,International Finance Cooperation|Ministry of Industry,Industry,Implementation,2010,2013,8141433,3274988
517,Skills Development Project,2013-08-01T00:00:00,Asian Development Bank,"Education, level unspecified",Implementation,2013,2013,-,152624
518,Nepal Strengthening Public Management Program,2013-03-27T00:00:00,Department for International Development|Asian Development Bank|World Bank Trust Funds,"Government and civil society, general|Other",Implementation,2012,2013,27491624,-
519,Support to the Implementation of Nepal's National Plan on the Elimination of Child Labour,2011-08-31T00:00:00,Denmark,Other social infrastructure and services,Completion,2011,2011,280000,280000
520,Enhancement of Nepal Police,2012-01-14T00:00:00,China,"Government and civil society, general",Pipeline/identification,2012,2012,1545431,-
521,Making Markets Work for the Conflict Affected Communities in Nepal Project,2012-02-17T00:00:00,World Bank Trust Funds,General budget support,Pipeline/identification,2012,2013,2598721,366614
522,Nepal Market Development Program,2012-03-06T00:00:00,Department for International Development,General budget support,Implementation,2012,2013,21577226,752072
523,Integrated Urban Development Project (Nepal),2012-07-04T00:00:00,Asian Development Bank,Other,Implementation,2012,2013,11782124,631311
524,Budgetary Support (China),,China,Energy generation and supply,Pipeline/identification,2012,2012,19636874,-
525,Sajhedari,2012-03-12T00:00:00,U.S. Agency for International Development,Other,Implementation,2012,2012,24614331,9654750
526,Community Initiatives for Common Understanding (CICU),2013-06-03T00:00:00,U.S. Agency for International Development,Other social infrastructure and services,Implementation,2013,2013,1177005,1177005
527,Inclusive Resource Management Initiative (IRMI),2013-06-03T00:00:00,U.S. Agency for International Development,"Conflict prevention and resolution, peace and security",Implementation,2013,2013,1202622,1184094
528,Integrated Pest Management Collaborative Research Support program (IPM CRSP),2013-03-01T00:00:00,U.S. Agency for International Development,Agriculture,Implementation,2013,2013,516456,516456
529,Initiative for Climate Change Adaptation (ICCA),2012-03-03T00:00:00,U.S. Agency for International Development,General environmental protection,Implementation,2012,2012,1963687,736382
530,Knowledge-based Integrated Sustainable Agriculture and Nutrition Project (KISAN),2013-02-14T00:00:00,U.S. Agency for International Development,Agriculture,Implementation,2013,2013,21086738,6846972
531,Health for Life,2012-12-17T00:00:00,U.S. Agency for International Development,Health,Implementation,2012,2013,17921664,4759976
532,MEASURES,2012-07-01T00:00:00,U.S. Agency for International Development,Other social infrastructure and services,Completion,2012,2012,702018,702018
533,Saath Saath,2011-09-30T00:00:00,U.S. Agency for International Development,Health,Implementation,2011,2012,27500000,11329589
534,Expansion of Malaria prevention and control to At-Risk population in Nepal,,"Global Fund to Fight AIDS, Tuberculosis and Malaria",Unspecified,Implementation,2012,2013,9824185,8037461
535,SAMBAD: Dialogue for Peace,2013-12-19T00:00:00,U.S. Agency for International Development,"Conflict prevention and resolution, peace and security",Implementation,2013,2013,-,-
536,Singhadurbar and Sthaniya Sarkar,2013-12-19T00:00:00,U.S. Agency for International Development,"Conflict prevention and resolution, peace and security",Implementation,2013,2013,-,-
537,Monitoring and Evaluation Feed the Future,2014-01-13T00:00:00,U.S. Agency for International Development,"Conflict prevention and resolution, peace and security",Implementation,2014,2014,-,-
538,Banepa polytechnic school,,China,"Education, level unspecified",Completion,2005,2011,1165438,1316644
539,Donation of security equipment,,China,"Government and civil society, general",Implementation,2010,2010,3912805,-
540,Procurement of vaccines (Pentavalent),,Global Alliance for Vaccines and Immunisation,Health,Implementation,2007,2011,31122077,6014250
541,Medium and Large Development Projects (Aid to Nepal),,India,Energy generation and supply|Transport and storage,Implementation,2011,2013,-,65318175
542,"Embankment projects under Indian grant assistance including Bagmati, Kamala, Khando and LalBakaiya",,India,Agriculture,Implementation,2011,2011,-,7681299
543,"Nepal Round 10 Proposal to Contribute to the Achievement of Millennium Development Goals 4,5,6",2012-02-21T00:00:00,"Global Fund to Fight AIDS, Tuberculosis and Malaria",Health,Implementation,2012,2013,11189340,7536873
544,"Nepal Round 10 Proposal to Contribute to the Achievement of MDGs, 4,5,6 / Save the Children",2012-02-08T00:00:00,"Global Fund to Fight AIDS, Tuberculosis and Malaria",Health,Implementation,2012,2013,10034432,6754015
545,Expansion of malaria prevention and control to At-Risk populations in Nepal 2010-2016 N,,"Global Fund to Fight AIDS, Tuberculosis and Malaria",Health,Implementation,2011,2013,2519091,1500860
546,Nepal Bridges Improvement and Maintenance Programme,,International Development Association,Transport and storage,Pipeline/identification,2012,2013,58910622,14915275
547,Road Improvement Project II,,India Exim Bank|India,Transport and storage,Implementation,2012,2012,61905246,-
548,United Kingdom Multilateral Debt Relief Initiative,,Department for International Development,Action Relating to Debt,Implementation,2010,2012,-,16602565
549,Improvement of Kathmandu Ring Road in Nepal,,China,Transport and storage,Implementation,-,-,-,-
550,Emergency and Trauma Centre in Kathamndu,,India,Health,Implementation,-,-,-,-
551,Nepal Family Planning Project - Family Planning Services for Excluded and Vulnerable Groups,2013-09-01T00:00:00,Department for International Development,Health,Implementation,2013,2013,23918785,-
552,Institutionalization of the Social Inclusion Research Fund,,SNV Netherlands Development Organisation,Other social infrastructure and services,Pipeline/identification,-,-,-,-
553,Promoting Financially Sustainable Regulatory Framework for Water Tariff in South Asia,,Asian Development Bank,Water supply and sanitation,Pipeline/identification,-,-,-,-
554,Program for Promotion of Demand for Good Governance in Nepal (PROD) - BE (TF095128),,World Bank Trust Funds,Other,Implementation,2009,2013,2295551,1138052
555,Development Policy Credit,,International Development Association,Banking and financial services,Implementation,2013,2013,3098741,-
556,"Nepal Economic, Agriculture and Trade Program (NEAT)",,U.S. Agency for International Development,Agriculture|Industry|General budget support,Completion,2010,2012,23296955,22537418
557,Hariyo Ban Program,,U.S. Agency for International Development,Forestry,Implementation,2011,2011,29947096,9000000
558,Support to Strengthen Government of Nepal's Aid Mangement Platform Database System,2013-07-23T00:00:00,U.S. Agency for International Development,Other social infrastructure and services,Pipeline/identification,2013,2013,-,-
559,Nepal Climate Change Support Programme,2010-12-17T00:00:00,Department for International Development|European Union,General environmental protection,Implementation,2009,2013,16474455,4829837
560,Access to Finance for the Poor Programme,2013-11-22T00:00:00,Department for International Development,Banking and financial services,Implementation,2013,2013,-,-
561,Nepal Climate Change Support Programme: Building Climate Resilience in Nepal(NCCSP),,Department for International Development|European Union,General environmental protection,Implementation,2012,2013,22154868,4696391
562,Support to GEF Eligible Parties for Alignment of National Action Programs and Reporting Process under UNCCD,,Global Environment Facility,General environmental protection,Pipeline/identification,-,-,-,-
563,Urban Transport Planning and Management,,Asian Development Bank,Other,Implementation,2012,2013,785474,341158
564,Integrated Urban Development Project,2012-07-04T00:00:00,Asian Development Bank,Other,Implementation,2012,2013,55768723,631311
565,"Endorsement for UNEP Umbrella Project, Support to the GEF Eligible CBD Parties for the revision of the NBSAP and Development of the Fifth National Report to the CBD.",,Global Environment Facility,General environmental protection,Pipeline/identification,-,-,-,-
566,Bio-fortification of Trace Element Micro nutrients in food crops for the poor and vulnerable people of Nepal,,AusAid,General environmental protection,Pipeline/identification,-,-,-,-
567,Developing low community based innovative solutions to mitigate and adapt with climate change while creating viable local business solutions,,Nordic Development Fund,General environmental protection,Pipeline/identification,-,-,-,-
568,Municipal Solid Waste Management Project,,International Development Association,Other,Pipeline/identification,-,-,-,-
569,Kathmandu Valley Waste water Management Project,2013-07-31T00:00:00,Asian Development Bank,Other,Implementation,2013,2013,82633107,-
570,Micro Enterprise Development Programme ( MEDEP) IV,2013-08-01T00:00:00,AusAid,Industry,Implementation,2013,2013,-,2958507
571,Australian Aid âNGO Cooperation Program ( ANCP),2013-07-01T00:00:00,AusAid,"Health|Government and civil society, general|Other social infrastructure and services",Implementation,2011,2013,5560292,5579520
572,Koshi Basin Program Phase 1 (ICIMOD),2012-03-01T00:00:00,AusAid,General environmental protection,Implementation,2012,2012,-,485869
573,World Food Programme MRC & SFP 2010-2012,2010-07-01T00:00:00,AusAid,Other social infrastructure and services,Completion,2010,2011,-,437187
574,Water and Sanitation Initiative Global Programming,2009-06-10T00:00:00,AusAid,Water supply and sanitation,Implementation,2009,2011,68795,68795
575,Development Gateway Foundation,,AusAid,Unallocated/ unspecified,Completion,2011,2011,97943,97943
576,UNCERF (Central Emergency Response Fund) -Multi-year Commitment 2010 - 2013 - UNOCHA,2009-12-09T00:00:00,AusAid,Other social infrastructure and services,Completion,2009,2012,78957,78957
577,Empowering the Poor through increasing access to Energy - ADB Regional Energy,2012-05-15T00:00:00,AusAid,Energy generation and supply,Implementation,2012,2012,576424,576424
578,South Asia Water Initiative - Climate Change and Water,2012-05-01T00:00:00,AusAid,General environmental protection,Completion,2012,2012,99437,99437
579,South Asia Food and Nutrition Security Initiative (SAFNSI),2011-05-03T00:00:00,AusAid,Other social infrastructure and services,Implementation,2011,2012,156560,156560
580,International Planned Parenthood Federation (IPPF) South Asia Strategic Plan 2010-2015,2011-05-01T00:00:00,AusAid,Health,Implementation,2011,2012,935652,935652
581,South Asia Public Sector Linkages Program (PSLP) initiative,2009-07-01T00:00:00,AusAid,"Education, level unspecified",Implementation,2009,2011,321196,321196
582,Monitoring and Reporting Mechanism on Grave Violations Against Children in Armed Conflicts (Global)-UNICEF,2009-07-01T00:00:00,AusAid,"Conflict prevention and resolution, peace and security",Implementation,2009,2011,1320859,201045
583,Colombo Plan & Drug Advisory Programme II,2009-07-01T00:00:00,AusAid,"Government and civil society, general|Other social infrastructure and services",Completion,2009,2011,14252,14252
584,South Asia Water Initiative (SAWI),2009-05-25T00:00:00,AusAid,General environmental protection,Completion,2009,2011,1320859,1320859
585,South Asia Regional Program Management (AUSAID),,AusAid,Unallocated/ unspecified,Implementation,2011,2011,-,64162
586,Australian Centre for International Agricultural Research (ACIAR)Projects in Nepal,,AusAid,Agriculture,Completion,2011,2011,342042,342042
587,Partnerships: Research and Analytical -INTERNATIONAL CRISIS GROUP,2009-06-05T00:00:00,AusAid,"Conflict prevention and resolution, peace and security",Completion,2009,2011,40731,40731
588,Multilateral climate change mitigation - World Bank,2012-03-05T00:00:00,AusAid,General environmental protection,Completion,2011,2012,1430930,1430930
589,Better Governance and Leadership - World Bank Governance Partnership Facility,2011-09-24T00:00:00,AusAid,"Government and civil society, general",Completion,2011,2011,294375,294375
590,Technical Assistance for scaling up the nutrition Initiative (Nepal)- SUNITA,,AusAid,Other social infrastructure and services,Implementation,2011,2012,2032148,2032148
591,School Sector Reform Program (School Safety Component),2012-01-31T00:00:00,AusAid,"Education, level unspecified",Implementation,2011,2012,4295024,3854010
592,Public Financial Management Support Multi-Donor Trust Fund Contribution (Nepal),2011-04-28T00:00:00,AusAid,Banking and financial services,Implementation,2011,2013,2975676,2975676
593,Koshi Coridor 220KV Transmission Line,,India Exim Bank,Energy generation and supply,Pipeline/identification,2012,2012,88365934,-
594,Support to Nepalâs Transition through improved UN Coherence,2010-08-01T00:00:00,Swiss Agency for Development and Cooperation|Department for International Development|United Nations Development Programme|United Nations Peace Fund|United Nation Office of High Commissioner for Human Rights|Norway|AusAid,"Conflict prevention and resolution, peace and security",Implementation,2009,2013,7084160,7148306
595,Community Based Flood & Glacial Lake Outburst Risk Reduction,2011-09-01T00:00:00,Global Environment Facility,Energy generation and supply,Pipeline/identification,2011,2012,62347,58568
596,Ecosystem Based Adaptation in Mountain Ecosystems,2012-02-07T00:00:00,United Nations Environment Programme,General environmental protection,Pipeline/identification,2012,2013,1700286,707603
597,Strengthening Rule of Law and Human Rights Protection System in Nepal Programme,2013-04-23T00:00:00,United Nations Development Programme|Norway|United Nations Peace Fund,"Government and civil society, general",Implementation,2013,2013,6610648,2217232
598,Strengthening National Planning and Monitoring Capacity,2013-07-01T00:00:00,United Nations Development Programme,Other social infrastructure and services,Implementation,2013,2013,-,550602
599,Nepal Climate Change Support Programme (NCCSP),2013-01-10T00:00:00,"Department for International Development|Ministry of Science, Technology and Environment",Energy generation and supply,Implementation,2012,2013,4436074,1634063
600,Project to Prepare the Public Administration for State Reforms (PREPARE),2013-03-14T00:00:00,United Nations Development Programme,"Government and civil society, general",Implementation,2013,2013,929622,413165
601,Strengthening the Monitoring and Evaluation System in Nepal - Phase II,2011-11-16T00:00:00,Japan International Cooperation Agency,Other social infrastructure and services,Implementation,2011,2013,2985636,1513081
602,Trial Bridge Sub Sector Programme III,2011-01-01T00:00:00,Swiss Agency for Development and Cooperation,Transport and storage,Implementation,2010,2012,10240729,9458511
603,Strengthening the Accountability of Local Government,2013-07-16T00:00:00,Swiss Agency for Development and Cooperation,Other,Implementation,2012,2013,5279835,385545
604,Legal Aid to Improve People's Access to Criminal Justice,2013-01-21T00:00:00,Swiss Agency for Development and Cooperation,Other social infrastructure and services,Implementation,2012,2013,524134,214653
605,Rehalibitation of Critical Trail Bridges,2013-01-16T00:00:00,Swiss Agency for Development and Cooperation,Transport and storage,Implementation,2012,2013,534831,535064
606,Support to HRDC Hospital and Reserach Centre,2012-12-20T00:00:00,Swiss Agency for Development and Cooperation,Health,Implementation,2012,2012,502741,385247
607,MSFP - Interim Forestry Project,2011-07-17T00:00:00,Department for International Development|Swiss Agency for Development and Cooperation,Forestry,Completion,2011,2012,3937135,3395041
608,POWER PLANT EXTENSION SALLERI CHIALSA ELECTRICITY COMPANY (SCECO) â SINGLE PHASE,2011-09-01T00:00:00,Swiss Agency for Development and Cooperation,Energy generation and supply,Implementation,2011,2013,619502,611420
609,Trade Promotion Programme (TPP),,Deutsche Gesellschaft fÃ¼r Internationale Zusammenarbeit,Business and other services,Pipeline/identification,-,-,-,-
610,Save the Children Strategic Framework for Cooperation 2010 -2012,2010-02-05T00:00:00,Norway,Other social infrastructure and services,Implementation,2010,2012,5110932,5280996
611,"Cultural Heritage Presevation ""Bhaidegah Temple""",,Norway,Other social infrastructure and services,Pipeline/identification,-,-,-,-
612,Preparing for the rehabilitation of Maoist combattants in the cantone,,Norway,"Conflict prevention and resolution, peace and security",Implementation,2010,2012,2565823,2121446
613,"Peacebuilding and collaborative leadership, phase 1",,Norway,"Conflict prevention and resolution, peace and security",Implementation,2011,2011,152158,152158
614,Sankalpa - Empowerment of Women for Political and Social Justice,,Norway,Other social infrastructure and services,Implementation,2011,2013,2296474,823595
615,IPWA Ensuring equal representation in policy and decision making,,Norway,Other social infrastructure and services,Implementation,2012,2013,652738,222580
616,Support to Transitional Justice efforts in Nepal,,Norway,Other social infrastructure and services,Implementation,2012,2013,-,457312
617,Child Friendly Local Governance CFLG,2013-05-13T00:00:00,Norway,Other,Implementation,2013,2013,7122683,2499099
618,"SAFE Media Nepal: A Safe, Able, Free and Empowered media for the promotion of human rights, democracy and peace in Nepal (CTR 267681)",2012-03-01T00:00:00,European Union,Communications,Implementation,2012,2013,315023,217949
619,Mukti: enhanced capacity of civil society in Nepal to unite and demand state accountability and ensure protection and promotion of Haliya rights (CTR 267705),2012-01-01T00:00:00,European Union,Other social infrastructure and services,Implementation,2012,2013,396170,237148
620,Reducing social tensions and social crimes and enhancing telerance for sustainable peace conciliation process in North-west communities of Kapivastu district (CTR 234000),,European Union,"Conflict prevention and resolution, peace and security",Implementation,2010,2012,49546,38622
621,VSBK â Vertical Shaft Brick Kilns and other SCP â Sustainable Construction Practices (CTR 262897),2012-01-01T00:00:00,European Union,General budget support|Industry,Implementation,2011,2013,2598621,1629023
622,Sustainable & Efficient Industrial Development (SEID),2012-02-01T00:00:00,European Union,Industry,Implementation,2012,2012,2567187,690816
623,Agriculture and Nutrition Extension Project (ANE) - CTR 261122,2011-12-17T00:00:00,European Union,Agriculture,Implementation,2011,2013,4813050,2212562
624,Support to Election Commission,,European Union,"Conflict prevention and resolution, peace and security",Pipeline/identification,-,-,-,-
625,Electoral education at grassroots and district levels for democratic governance (CTR,2012-04-03T00:00:00,European Union,Other social infrastructure and services,Implementation,2012,2013,459781,313532
626,International Protection and Assistance to the Refugees from Bhutan in the Camps in Eastern Nepal (CTR 281601),,European Union,Other social infrastructure and services,Implementation,2013,2013,"",999368
627,Safe Passage: Making the mobility safe by reducing the vulnerability and impact of HIV and AIDS - Nepal (CTR 133554),2008-01-01T00:00:00,European Union,Health,Implementation,2008,2012,1150857,1194651
628,"A Collaborative Approach Promoting Child Rights, Non-Discrimination and Child Participation (CTR 292546)",2013-02-01T00:00:00,European Union,Other social infrastructure and services,Pipeline/identification,2013,2013,423036,129166
629,Strengthening participation and influence of poor and vulnerable farmers and fishermen in decision-making processes related to food security (CTR 301109),2013-01-01T00:00:00,European Union,Agriculture,Pipeline/identification,2012,2013,1558894,361275
630,Go International (CTR 308308),2012-12-15T00:00:00,European Union,Business and other services,Pipeline/identification,2012,2013,-,163884
631,Green Homes- promoting sustainable housing in Nepal (CTR 291499),2013-02-01T00:00:00,European Union,Other social infrastructure and services,Pipeline/identification,2013,2013,1213731,284091
632,Unnati (Prosperity)CRT 308298,,European Union,General budget support,Pipeline/identification,2012,2013,571356,146225
633,Economic Growth for Social Justice: Supporting NTFP trade and business development in Karnali (CRT 287648),2012-04-07T00:00:00,European Union,Other,Pipeline/identification,2012,2013,-,248112
634,Skill Development and Employment for the Informal Sector in Nepal (CRT 231089),2011-01-01T00:00:00,European Union,Other social infrastructure and services,Pipeline/identification,2011,2013,-,610806
635,Sustaining the gains of foreign labour migration through the protection of migrant workersâ right. (CRT 228848),2011-01-17T00:00:00,European Union,Other social infrastructure and services,Pipeline/identification,2011,2013,-,241795
636,"Empowering marginalised and conflict affected communities for promoting human rights, democracy and peace. (CRT 234035)",2011-01-01T00:00:00,European Union,Other,Implementation,2011,2013,-,10688
637,Improving the quality of life of vulnerable target groups in the Eastern Region of Nepal by improving eye care and sight restoration. (CRT 133557),2007-12-12T00:00:00,European Union,Other,Implementation,2007,2013,-,393630
638,STrengthening capacities and coordination among actors working with street children. (CRT 158243) National Alliance of Organization for street children,2009-02-10T00:00:00,European Union,Other social infrastructure and services,Implementation,2009,2013,-,9752
639,Climate Smart Agriculture,2013-04-01T00:00:00,SNV Netherlands Development Organisation,Agriculture,Implementation,2013,2013,620408,13517
640,Sustainable Sanitation and Hygiene for All (SSH4A),2012-01-01T00:00:00,SNV Netherlands Development Organisation,Other,Implementation,2012,2013,140867,37445
641,Urban Sustainable Sanitation and Hygiene for All (USSH4A),2013-01-01T00:00:00,SNV Netherlands Development Organisation,Other,Implementation,2012,2013,258792,51260
642,Improve Cooking Stove Programme (ICSP),2013-01-01T00:00:00,SNV Netherlands Development Organisation,Energy generation and supply,Implementation,2012,2013,406839,174987
643,UNICEF country programme July to December 2010,,United Nations Children's Fund,"Other social infrastructure and services|Other|Water supply and sanitation|Health|Education, level unspecified",Completion,2010,2010,13113717,13113717
644,"Output 1 (NPL7U601): Strengthened capacity of health institutions and service providers to plan, implement and monitor high-quality comprehensive sexual and reproductive health services (Off Budget)",2013-02-12T00:00:00,United Nations Population Fund,Unspecified,Pipeline/identification,2013,2013,833056,693542
645,"Output 1 (NPL7U601) : Strengthened capacity of health institutions and service providers to plan, implement and monitor high-quality comprehensive sexual and reproductive health services (On Budget)",2013-02-12T00:00:00,United Nations Population Fund,Unspecified,Pipeline/identification,2013,2013,38580,312333
646,Output 2 (NPL7U602): Increased capacity of women and youth to access high-quality sexual and reproductive health services (Off Budget),2013-02-12T00:00:00,United Nations Population Fund,Unspecified,Pipeline/identification,2013,2013,511446,457013
647,Output 2 (NPL7U602): Increased capacity of women and youth to access high-quality sexual and reproductive health services (On Budget),2013-02-12T00:00:00,United Nations Population Fund,Unspecified,Pipeline/identification,2013,2013,-,39839
648,Output 1 (NPL7U501): Strengthened national and subnational health-system capacity within the coordinated multisectoral response to sexual and gender-based violence (Off Budget),2013-02-12T00:00:00,United Nations Population Fund,Other social infrastructure and services,Pipeline/identification,2013,2013,338719,72069
649,Output 1 (NPL7U501): Strengthened national and subnational health-system capacity within the coordinated multisectoral response to sexual and gender-based violence (On budget),,United Nations Population Fund,Other social infrastructure and services,Pipeline/identification,2013,2013,-,15664
650,Output 2 (NPL7U502): Enhanced capacity  of men and women to prevent gender-based violence and support women seeking multisectoral services on gender-based violence (Off Budget),2013-02-12T00:00:00,United Nations Population Fund,Other social infrastructure and services,Pipeline/identification,2013,2013,518808,430553
651,Output 2 (NPL7U502): Enhanced capacity  of men and women to prevent gender-based violence and support women seeking multisectoral services on gender-based violence (On Budget),2013-02-12T00:00:00,United Nations Population Fund,Other social infrastructure and services,Pipeline/identification,2013,2013,-,6405
652,Output 2 (NPL7U503): Enhanced capacity  of men and women to prevent gender-based violence and support women seeking multisectoral services on gender-based violence (Off budget),2013-02-12T00:00:00,United Nations Population Fund,Other social infrastructure and services,Pipeline/identification,2013,2013,268662,204645
653,Output 2 (NPL7U503): Enhanced capacity  of men and women to prevent gender-based violence and support women seeking multisectoral services on gender-based violence (On Budget),2013-02-12T00:00:00,United Nations Population Fund,Other social infrastructure and services,Pipeline/identification,2013,2013,-,-
654,"Output 1 (NPL7U101): Strengthened capacity of relevant government ministries at national and subnational levels to address population dynamics and its interlinkages in policies, programmes and budgets (Off Budget)",2013-02-12T00:00:00,United Nations Population Fund,Other|Other social infrastructure and services|Population policies/ programmes and reproductive health,Pipeline/identification,2013,2013,516350,410995
655,"Output 1 (NPL7U101): Strengthened capacity of relevant government ministries at national and subnational levels to address population dynamics and its interlinkages in policies, programmes and budgets (On Budget)",2013-02-12T00:00:00,United Nations Population Fund,Other|Other social infrastructure and services|Population policies/ programmes and reproductive health,Pipeline/identification,2013,2013,116844,139816
656,"Output 2 (NPL7U102): Improved data availability and analysis for evidence-based decision-making and policy formulation on population dynamics, adolescent sexual and reproductive health, and gender equality (Off Budget)",2013-02-12T00:00:00,United Nations Population Fund,Other|Population policies/ programmes and reproductive health,Pipeline/identification,2013,2013,325434,208287
657,"Output 3 (NPL7U103): Strengthened capacity of networks for youth and for vulnerable women at central and local levels to influence development policies, plans and budgets (On Budget)",2013-02-12T00:00:00,United Nations Population Fund,Other social infrastructure and services|Other social infrastructure and services,Pipeline/identification,2013,2013,-,-
658,NPL7A101: Programme Coordination and Assistance (PCA:Off Budget),2013-02-12T00:00:00,United Nations Population Fund,Unspecified,Pipeline/identification,2013,2013,309151,256545
659,"SENEP1206741 - Programme for Immunization Preventable Diseases, WHO Nepal",2012-01-01T00:00:00,World Health Organization,Health,Implementation,2012,2013,110948,88660
660,SENEP1206530 - Diseases Surveillance and Epidemiology/Neglected Tropical Disease Elimination and Control/Malaria Elimination/Blood Safety and Laboratory Technology,2012-01-01T00:00:00,World Health Organization,Health,Implementation,2012,2013,416301,338509
661,"SENEP1206743 - To combat HIV/AIDs, Tuberculosis in Nepal",2012-01-01T00:00:00,World Health Organization,Health,Implementation,2012,2013,172804,151454
662,"SENEP1206761 - NCD, Mental Health and Disabilities Prevention and Control",2012-01-01T00:00:00,World Health Organization,Health,Implementation,2012,2013,381937,489119
663,"SENEP1206729 - Improving health during key stage of life including pregnancy, childbirth, neonatal period, childhood, adolescent, older age promoting gender equality, equity and human rights",2012-01-01T00:00:00,World Health Organization,Health,Implementation,2012,2013,368191,311917
664,"SENEP1206771 - To improve health services through better governance, financing, staffing and management to improve knowledge, management and information technology and the use of essential medicines",2012-01-01T00:00:00,World Health Organization,Health,Implementation,2012,2013,1090828,1421721
665,"SENEP1206682 - Environmental Health, Nutrition and Food Safety",2012-01-01T00:00:00,World Health Organization,Health,Implementation,2012,2013,545905,802391
666,SENEP1206730 - Reduce the health consequences of emergencies and conflicts,2012-01-01T00:00:00,World Health Organization,Health,Implementation,2012,2013,162004,121467
667,"TFD-10/NEP/003: Improving nutritional status of children by demonstrating kitchen garden model in school and its vicinity - Jhirubas-4, Palpa",,Food and Agriculture Organization,Agriculture,Completion,2012,2012,9749,9749
668,"TFD-10/NEP/004: Improving nutritional status of school children and community people through increased productiona nd consumption of fruits and vegetables,  Ruppakot-VDC-9, Tahanun",2012-03-15T00:00:00,Food and Agriculture Organization,Agriculture,Implementation,2012,2012,-,-
669,"TFD-10/NEP/006 - Improving nutritional status of school children and community people through increased production and consumption of fruits and getetables, Nirmal Pokhari VDC, Watd No. 1, Kaski",2012-03-15T00:00:00,Food and Agriculture Organization,Agriculture,Completion,2012,2012,8959,8836
670,"TFD-11/NEP/002_ Improving nutritional status of children by demonstrating kitchen garden model in schools and its vicinity, Gorkha-1",2012-05-25T00:00:00,Food and Agriculture Organization,Agriculture,Implementation,2012,2012,4889,-
671,Conducting reinforcement training for district level womenâs organization on gender sensitive transitional justice through supporting individual trainees to undertake district level advocacy initiatives - (WHR),2011-09-09T00:00:00,Women For Human Rights Single Womengroup Association,"Conflict prevention and resolution, peace and security",Completion,2011,2012,1167500,15583
672,Mobilizing Media for Raising Awareness on Gender Based Violence,2011-01-06T00:00:00,United Nations Development Fund for Women,Communications,Completion,2011,2012,16347,15771
673,Conducting Baseline Survey on the Status on the Conflict Affected Women,2012-02-01T00:00:00,United Nations Development Fund for Women,"Conflict prevention and resolution, peace and security",Completion,2012,2012,22738,20729
674,Strengthening National and Local Level Capacity for Gender Responsive Transitional Justice - (ICTJ),2012-02-01T00:00:00,International Center for Transitional Justice,"Conflict prevention and resolution, peace and security",Completion,2012,2013,133559,128870
675,Mainstreaming Gender in Institutional Practices of Political Parties,2011-12-23T00:00:00,United Nations Development Fund for Women,"Conflict prevention and resolution, peace and security",Completion,2011,2012,28736,27917
676,Produce Video Documentary on the Impact of Armed Conflict on Women and their Role in Peacemaking Initiatives,2011-01-01T00:00:00,Media Service Nepal,"Conflict prevention and resolution, peace and security",Completion,2010,2013,13458,13120
677,Sustaining the gains of foreign labour migration through the protection of migrant workersâ rights-People Forum,2011-09-01T00:00:00,United Nations Development Fund for Women,Other social infrastructure and services,Completion,2010,2013,606996,469366
678,Tracking Study of Gender Based Violence Cases in Nepal - (UCL),2012-04-15T00:00:00,United Nations Development Fund for Women,"Government and civil society, general",Completion,2012,2012,19080,-
679,Economic Empowerment of Women through effective policy response programme with focus on Foreign Labour Migration,2013-07-01T00:00:00,Ministry of Labour & Employment,General budget support,Pipeline/identification,2013,2013,-,-
680,Development of a Booklet and Video on Sustaining the Gains of Foreign Labour Migration through the Protection of Migrant Workersâ Rights,2013-05-01T00:00:00,United Nations Development Fund for Women,Other social infrastructure and services,Completion,2013,2013,2009,8036
681,"Strengthening Implementation of the Women, Peace and Security Agenda in Nepal: Towards Implementation of the National Action Plan on UNSCRs 1325 and 1820",2013-07-01T00:00:00,United Nations Development Fund for Women,"Conflict prevention and resolution, peace and security",Completion,2013,2013,152118,-
682,"FOR CREATING A POOL OF LOCAL LEVEL COUSELORS TO PROVIDE PSYCHO-SOCIAL COUSELING SERVICES TO THE CONFLICT AFFECTED WOMEN AND GIRLS IN THREE PROJECT DISTRICTS (KAVRE, RAMECHAAP AND SINDHULI) â GENDER RESPONSIVE RECOVERY FOR SUSTAINABLE PEACE",2013-07-22T00:00:00,United Nations Development Fund for Women,"Conflict prevention and resolution, peace and security",Pipeline/identification,2013,2013,-,8726
683,Economic empowerment of women through effective policy response programme with focus on foreing labour migration (MOLE),2013-06-22T00:00:00,United Nations Development Fund for Women,Other social infrastructure and services,Pipeline/identification,2013,2013,-,-
684,"Implementing Activities of the Project âStrengthening Implementation of the Women, Peace and Security Agenda in Nepal: Towards Implementation of the National Action Plan on UNSCRs 1325 and 1820â - MWCSW",2013-08-01T00:00:00,United Nations Development Fund for Women,Other social infrastructure and services,Pipeline/identification,2013,2013,-,-
685,"Implementing Activities of the Project âPromoting Gender Responsive Security Sector (PROGRESS): Towards Implementation of UNSCRs 1325 and 1820â with the Ministry of Defence, Government of Nepal",2013-07-01T00:00:00,United Nations Development Fund for Women,"Conflict prevention and resolution, peace and security",Implementation,2013,2013,24350,15634
